"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3461","Edit course","LMS system","Wed Aug 06 04:51:25 GMT 2025","passed","Wed Aug 06 04:51:28 GMT 2025","Courses","Courses","",""
"","1413","User login with wrong email or password","LMS system","Wed Aug 06 04:50:40 GMT 2025","failed","Wed Aug 06 04:50:42 GMT 2025","Authorization","Authentication","",""
"","2780","User login with correct email and password","LMS system","Wed Aug 06 04:50:56 GMT 2025","passed","Wed Aug 06 04:50:59 GMT 2025","Authorization","Authentication","",""
"","3392","Create course","LMS system","Wed Aug 06 04:51:19 GMT 2025","passed","Wed Aug 06 04:51:23 GMT 2025","Courses","Courses","",""
"","1392","User login with wrong email or password","LMS system","Wed Aug 06 04:50:52 GMT 2025","failed","Wed Aug 06 04:50:54 GMT 2025","Authorization","Authentication","",""
"","1050","User login with wrong email or password","LMS system","Wed Aug 06 04:50:44 GMT 2025","failed","Wed Aug 06 04:50:45 GMT 2025","Authorization","Authentication","",""
"","7330","User login with correct email and password","LMS system","Wed Aug 06 04:50:53 GMT 2025","passed","Wed Aug 06 04:51:00 GMT 2025","Authorization","Authentication","",""
"","1202","Check displaying of empty courses list","LMS system","Wed Aug 06 04:51:16 GMT 2025","passed","Wed Aug 06 04:51:18 GMT 2025","Courses","Courses","",""
"","1344","User login with wrong email or password","LMS system","Wed Aug 06 04:50:46 GMT 2025","failed","Wed Aug 06 04:50:47 GMT 2025","Authorization","Authentication","",""
"","1585","User login with wrong email or password","LMS system","Wed Aug 06 04:50:55 GMT 2025","failed","Wed Aug 06 04:50:56 GMT 2025","Authorization","Authentication","",""
"","1532","Registration with correct email, username and password","LMS system","Wed Aug 06 04:51:06 GMT 2025","passed","Wed Aug 06 04:51:07 GMT 2025","Registration","Authentication","",""
"","1195","User login with wrong email or password","LMS system","Wed Aug 06 04:50:42 GMT 2025","failed","Wed Aug 06 04:50:43 GMT 2025","Authorization","Authentication","",""
"","1956","User login with wrong email or password","LMS system","Wed Aug 06 04:50:50 GMT 2025","failed","Wed Aug 06 04:50:52 GMT 2025","Authorization","Authentication","",""
"","1249","Navigation from login page to registration page","LMS system","Wed Aug 06 04:51:06 GMT 2025","passed","Wed Aug 06 04:51:07 GMT 2025","Authorization","Authentication","",""
"","1273","Check displaying of dashboard page","LMS system","Wed Aug 06 04:51:35 GMT 2025","passed","Wed Aug 06 04:51:36 GMT 2025","Dashboard","Dashboard","",""
"","2319","Check displaying of dashboard page","LMS system","Wed Aug 06 04:51:31 GMT 2025","passed","Wed Aug 06 04:51:33 GMT 2025","Dashboard","Dashboard","",""
"","3414","User login with correct email and password","LMS system","Wed Aug 06 04:51:01 GMT 2025","passed","Wed Aug 06 04:51:05 GMT 2025","Authorization","Authentication","",""
"","2175","Create course","LMS system","Wed Aug 06 04:51:16 GMT 2025","passed","Wed Aug 06 04:51:18 GMT 2025","Courses","Courses","",""
"","1423","Check displaying of dashboard page","LMS system","Wed Aug 06 04:51:27 GMT 2025","passed","Wed Aug 06 04:51:29 GMT 2025","Dashboard","Dashboard","",""
"","2747","Edit course","LMS system","Wed Aug 06 04:51:24 GMT 2025","passed","Wed Aug 06 04:51:27 GMT 2025","Courses","Courses","",""
"","1046","Check displaying of empty courses list","LMS system","Wed Aug 06 04:51:09 GMT 2025","passed","Wed Aug 06 04:51:10 GMT 2025","Courses","Courses","",""
"","3737","Edit course","LMS system","Wed Aug 06 04:51:30 GMT 2025","passed","Wed Aug 06 04:51:34 GMT 2025","Courses","Courses","",""
"","1754","Navigation from login page to registration page","LMS system","Wed Aug 06 04:51:03 GMT 2025","passed","Wed Aug 06 04:51:05 GMT 2025","Authorization","Authentication","",""
"","3441","Create course","LMS system","Wed Aug 06 04:51:20 GMT 2025","passed","Wed Aug 06 04:51:23 GMT 2025","Courses","Courses","",""
"","849","Navigation from login page to registration page","LMS system","Wed Aug 06 04:51:00 GMT 2025","passed","Wed Aug 06 04:51:01 GMT 2025","Authorization","Authentication","",""
"","1141","Registration with correct email, username and password","LMS system","Wed Aug 06 04:51:07 GMT 2025","passed","Wed Aug 06 04:51:09 GMT 2025","Registration","Authentication","",""
"","3768","Registration with correct email, username and password","LMS system","Wed Aug 06 04:51:10 GMT 2025","passed","Wed Aug 06 04:51:14 GMT 2025","Registration","Authentication","",""
"","1935","User login with wrong email or password","LMS system","Wed Aug 06 04:50:49 GMT 2025","failed","Wed Aug 06 04:50:51 GMT 2025","Authorization","Authentication","",""
"","1991","User login with wrong email or password","LMS system","Wed Aug 06 04:50:42 GMT 2025","failed","Wed Aug 06 04:50:44 GMT 2025","Authorization","Authentication","",""
"","1559","Check displaying of empty courses list","LMS system","Wed Aug 06 04:51:14 GMT 2025","passed","Wed Aug 06 04:51:15 GMT 2025","Courses","Courses","",""
